Equipment No,Equipment Name,Owner Name,Availability,District,Phone Number,Rent Per Hour (INR)
EQ-1334,Power Tiller,J. Prakash,Available,Medchal-Malkajgiri,8546270451,423
EQ-1335,Disc Harrow,J. Prakash,Available,Medak,9435632899,181
EQ-1336,Balers,K. Ashok,Available,Karimnagar,9916757816,194
EQ-1337,Paddy Transplanter,K. Naresh,Available,Warangal,9600871106,131
EQ-1338,Thresher,P. Satyanarayana,Available,Medchal-Malkajgiri,9154337019,374
EQ-1339,Balers,S. Rajender,Rented Out,Nalgonda,9973465185,183
EQ-1340,Sprayer (Battery Powered),T. Ravi,Available,Nalgonda,9635008544,231
EQ-1341,Thresher,J. Prakash,Available,Nizamabad,9196689473,400
EQ-1342,Thresher,K. Naresh,Available,Nalgonda,7478918222,312
EQ-1343,Cultivator,Suresh Reddy,Rented Out,Medak,7822113500,220
EQ-1344,Paddy Transplanter,Mohammad Ali,Available,Yadadri Bhuvanagiri,9562705171,134
EQ-1345,Sprayer (Battery Powered),P. Satyanarayana,Available,Suryapet,8492922240,111
EQ-1346,Rotavator,S. Rajender,Available,Warangal,7409883716,318
EQ-1347,Paddy Transplanter,S. Rajender,Rented Out,Suryapet,7400347789,130
EQ-1348,Power Tiller,Anil Kumar,Rented Out,Warangal,8698967370,393
EQ-1349,Combine Harvester,M. Narsimha,Available,Medak,7530986098,1512
EQ-1350,Rotavator,Suresh Reddy,Available,Medchal-Malkajgiri,7457599735,421
EQ-1351,Thresher,K. Naresh,Available,Medak,7250088694,383
EQ-1352,Seed Drill,A. Venkat Reddy,Available,Karimnagar,7893838119,176
EQ-1353,Seed Drill,T. Ravi,Rented Out,Siddipet,7421897671,221
EQ-1354,Seed Drill,Ramesh Kumar,Available,Sangareddy,9547256709,249
EQ-1355,Post Hole Digger,Mohammad Ali,Available,Medak,8385111130,248
EQ-1356,Disc Harrow,T. Ravi,Available,Medak,8283085932,234
EQ-1357,Sprayer (Battery Powered),V. Krishna,Rented Out,Medchal-Malkajgiri,7360056579,108
EQ-1358,Sprayer (Battery Powered),T. Ravi,Available,Nalgonda,9573561557,180
EQ-1359,Combine Harvester,K. Sridhar,Rented Out,Siddipet,9540639384,1513
EQ-1360,Laser Land Leveler,M. Narsimha,Rented Out,Yadadri Bhuvanagiri,7881042056,1063
EQ-1361,Combine Harvester,P. Rajesh,Available,Mahabubnagar,8811060614,1489
EQ-1362,Power Weeder,K. Naresh,Available,Medchal-Malkajgiri,8672440825,187
EQ-1363,Seed Drill,D. Mohan,Available,Medak,8306442077,163
EQ-1364,Paddy Transplanter,P. Satyanarayana,Available,Nalgonda,8928042067,173
EQ-1365,Disc Harrow,P. Rajesh,Rented Out,Warangal,8474524558,243
EQ-1366,Cultivator,K. Ashok,Available,Ranga Reddy,7826517607,239
EQ-1367,Power Weeder,S. Rajender,Available,Suryapet,9411871167,110
EQ-1368,Sprayer (Battery Powered),Mohammad Ali,Available,Warangal,8804344630,165
EQ-1369,Thresher,K. Ashok,Available,Nalgonda,7391126537,443
EQ-1370,Cultivator,P. Rajesh,Available,Ranga Reddy,7895525625,250
EQ-1371,Disc Harrow,Y. Srinivasa Rao,Available,Sangareddy,7342313086,159
EQ-1372,Power Tiller,Suresh Reddy,Rented Out,Warangal,7607239833,325
EQ-1373,Post Hole Digger,G. Mohan Rao,Available,Hyderabad,7269587940,204
EQ-1374,Thresher,V. Krishna,Rented Out,Sangareddy,9911653317,373
EQ-1375,Cultivator,B. Laxman,Available,Jagtial,9800400428,246
EQ-1376,Paddy Transplanter,Y. Srinivasa Rao,Available,Jagtial,9548700579,145
EQ-1377,Balers,Suresh Reddy,Rented Out,Suryapet,8300050585,174
EQ-1378,Rotavator,Suresh Reddy,Available,Medak,7215213239,385
EQ-1379,Thresher,Mohammad Ali,Rented Out,Jagtial,9641394238,419
EQ-1380,Disc Harrow,P. Satyanarayana,Available,Warangal,9885033297,217
EQ-1381,Cultivator,V. Krishna,Available,Hyderabad,7461971444,175
EQ-1382,Chaff Cutter,T. Ravi,Available,Medchal-Malkajgiri,7785826598,203
EQ-1383,Paddy Transplanter,K. Sridhar,Available,Ranga Reddy,8818608005,124
EQ-1384,Combine Harvester,Chandra Sekhar,Rented Out,Warangal,9107333788,1267
EQ-1385,Disc Harrow,S. Rajender,Rented Out,Suryapet,8453932473,177
EQ-1386,Sprayer (Battery Powered),T. Ravi,Available,Khammam,7486066116,160
EQ-1387,Chaff Cutter,Suresh Reddy,Available,Nizamabad,8271494637,203
EQ-1388,Paddy Transplanter,G. Mohan Rao,Available,Siddipet,9785811060,175
EQ-1389,Laser Land Leveler,N. Mahender,Available,Nalgonda,9613443905,1156
EQ-1390,Sprayer (Battery Powered),J. Prakash,Available,Karimnagar,7689736058,220
EQ-1391,Paddy Transplanter,M. Narsimha,Available,Suryapet,9830511568,120
EQ-1392,Thresher,K. Naresh,Available,Ranga Reddy,7220483278,315
EQ-1393,Paddy Transplanter,D. Mohan,Available,Medak,7260902774,142
EQ-1394,Balers,B. Laxman,Rented Out,Ranga Reddy,7320548167,249
EQ-1395,Power Tiller,M. Raju,Rented Out,Suryapet,9586869229,333
EQ-1396,Power Weeder,K. Naresh,Rented Out,Medak,9700003920,218
EQ-1397,Post Hole Digger,G. Mohan Rao,Available,Siddipet,9525146690,165
EQ-1398,Sprayer (Battery Powered),Ramesh Kumar,Available,Medak,9148629555,208
EQ-1399,Sprayer (Battery Powered),N. Mahender,Available,Mahabubnagar,9174108740,220
EQ-1400,Cultivator,Suresh Reddy,Rented Out,Medchal-Malkajgiri,9922301213,207
EQ-1401,Power Weeder,N. Mahender,Rented Out,Yadadri Bhuvanagiri,8503346325,120
EQ-1402,Chaff Cutter,G. Mohan Rao,Available,Sangareddy,8227381397,145
EQ-1403,Power Weeder,D. Mohan,Available,Siddipet,9996382881,100
EQ-1404,Rotavator,M. Narsimha,Available,Nizamabad,7872121274,439
EQ-1405,Paddy Transplanter,K. Sridhar,Rented Out,Yadadri Bhuvanagiri,9365764028,217
EQ-1406,Combine Harvester,N. Mahender,Available,Nalgonda,7921938559,1115
EQ-1407,Post Hole Digger,Suresh Reddy,Rented Out,Medak,9358413465,152
EQ-1408,Power Tiller,M. Venkatesh,Available,Nizamabad,7821579885,480
EQ-1409,Disc Harrow,Suresh Reddy,Available,Karimnagar,8351619881,238
EQ-1410,Post Hole Digger,G. Bhaskar,Available,Medchal-Malkajgiri,7410594268,159
EQ-1411,Laser Land Leveler,K. Ashok,Available,Medak,7929506584,1688
EQ-1412,Disc Harrow,B. Laxman,Available,Jagtial,9808897689,233
EQ-1413,Power Weeder,Y. Srinivasa Rao,Available,Khammam,9697771523,144
EQ-1414,Chaff Cutter,V. Krishna,Rented Out,Mahabubnagar,8150341410,188
EQ-1415,Chaff Cutter,V. Krishna,Rented Out,Suryapet,7442238518,206
EQ-1416,Combine Harvester,K. Sridhar,Available,Karimnagar,9910048118,1550
EQ-1417,Disc Harrow,M. Raju,Available,Khammam,7254996504,218
EQ-1418,Paddy Transplanter,Suresh Reddy,Rented Out,Karimnagar,7669074377,134
EQ-1419,Disc Harrow,S. Rajender,Available,Nalgonda,8794395127,120
EQ-1420,Balers,J. Prakash,Available,Ranga Reddy,7878016905,148
EQ-1421,Cultivator,Suresh Reddy,Rented Out,Sangareddy,7747382621,110
EQ-1422,Disc Harrow,M. Venkatesh,Available,Nizamabad,9457517705,177
EQ-1423,Disc Harrow,Ramesh Kumar,Available,Siddipet,9901955461,222
EQ-1424,Sprayer (Battery Powered),Y. Srinivasa Rao,Available,Karimnagar,9692790631,182
EQ-1425,Cultivator,M. Narsimha,Rented Out,Nizamabad,7796559239,191
EQ-1426,Cultivator,Mohammad Ali,Available,Mahabubnagar,8600368062,125
EQ-1427,Thresher,K. Ashok,Available,Jagtial,9498041381,380
EQ-1428,Rotavator,K. Sridhar,Available,Siddipet,9117415986,366
EQ-1429,Laser Land Leveler,D. Mohan,Rented Out,Khammam,9310659326,1337
EQ-1430,Power Weeder,Y. Srinivasa Rao,Available,Nizamabad,7802879944,186
EQ-1431,Post Hole Digger,P. Satyanarayana,Rented Out,Siddipet,7894133105,225
EQ-1432,Combine Harvester,J. Prakash,Available,Medchal-Malkajgiri,9873430762,1559
EQ-1433,Combine Harvester,M. Raju,Available,Mahabubnagar,9179811669,1684
EQ-1434,Post Hole Digger,Suresh Reddy,Available,Karimnagar,9777210736,159
EQ-1435,Sprayer (Battery Powered),M. Venkatesh,Available,Hyderabad,9643026584,216
EQ-1436,Rotavator,N. Mahender,Rented Out,Sangareddy,8116891857,301
EQ-1437,Paddy Transplanter,D. Mohan,Rented Out,Hyderabad,9668457864,170
EQ-1438,Cultivator,D. Mohan,Available,Mahabubnagar,7823737375,210
EQ-1439,Power Tiller,Chandra Sekhar,Available,Mahabubnagar,9358738317,349
EQ-1440,Paddy Transplanter,A. Venkat Reddy,Available,Yadadri Bhuvanagiri,8387037751,201
EQ-1441,Seed Drill,M. Venkatesh,Rented Out,Nizamabad,7361142486,157
EQ-1442,Chaff Cutter,Mohammad Ali,Available,Sangareddy,7915599098,108
EQ-1443,Power Weeder,M. Venkatesh,Rented Out,Karimnagar,7611106584,114
EQ-1444,Rotavator,V. Krishna,Available,Ranga Reddy,8565906941,465
EQ-1445,Laser Land Leveler,B. Laxman,Available,Jagtial,7145689604,1235
EQ-1446,Balers,G. Bhaskar,Rented Out,Khammam,9179830621,171
EQ-1447,Laser Land Leveler,D. Mohan,Available,Medchal-Malkajgiri,8116812751,1212
EQ-1448,Combine Harvester,T. Ravi,Rented Out,Jagtial,9421346113,1166
EQ-1449,Disc Harrow,T. Ravi,Rented Out,Sangareddy,7456192204,198
EQ-1450,Sprayer (Battery Powered),M. Narsimha,Available,Suryapet,7877564713,120
EQ-1451,Sprayer (Battery Powered),K. Naresh,Available,Hyderabad,9569319938,159
EQ-1452,Seed Drill,M. Venkatesh,Rented Out,Suryapet,8131810311,169
EQ-1453,Thresher,J. Prakash,Available,Warangal,7503111666,410
EQ-1454,Chaff Cutter,Chandra Sekhar,Rented Out,Ranga Reddy,7417161302,163
EQ-1455,Power Tiller,P. Rajesh,Available,Khammam,9508021882,482
EQ-1456,Combine Harvester,V. Krishna,Rented Out,Warangal,8214408183,1093
EQ-1457,Cultivator,Ramesh Kumar,Rented Out,Warangal,8209770151,133
EQ-1458,Combine Harvester,M. Venkatesh,Rented Out,Nizamabad,7695647539,1524
EQ-1459,Power Tiller,K. Sridhar,Available,Ranga Reddy,8695088987,323
EQ-1460,Laser Land Leveler,A. Venkat Reddy,Available,Yadadri Bhuvanagiri,8113250637,1298
EQ-1461,Power Weeder,K. Sridhar,Available,Siddipet,7360642799,246
EQ-1462,Combine Harvester,K. Naresh,Rented Out,Medchal-Malkajgiri,9388749542,1308
EQ-1463,Thresher,P. Satyanarayana,Available,Ranga Reddy,9566730092,370
EQ-1464,Cultivator,K. Sridhar,Rented Out,Suryapet,9487754927,164
EQ-1465,Sprayer (Battery Powered),Y. Srinivasa Rao,Rented Out,Medak,7309968304,217
EQ-1466,Combine Harvester,K. Ramakrishna,Available,Hyderabad,8456715514,1635
EQ-1467,Post Hole Digger,S. Rajender,Available,Nizamabad,8562370643,134
EQ-1468,Seed Drill,Mohammad Ali,Available,Nizamabad,8290736564,201
EQ-1469,Cultivator,B. Laxman,Rented Out,Medak,9449917685,196
EQ-1470,Balers,P. Satyanarayana,Rented Out,Warangal,9705429879,151
EQ-1471,Paddy Transplanter,T. Ravi,Available,Sangareddy,7128900946,218
EQ-1472,Disc Harrow,P. Rajesh,Rented Out,Suryapet,8992582047,117
EQ-1473,Chaff Cutter,K. Sridhar,Rented Out,Medchal-Malkajgiri,7425164079,161
EQ-1474,Chaff Cutter,P. Satyanarayana,Available,Siddipet,8947264726,196
EQ-1475,Thresher,M. Venkatesh,Rented Out,Medak,8673772626,429
EQ-1476,Power Weeder,P. Rajesh,Available,Suryapet,8853374076,237
EQ-1477,Chaff Cutter,A. Venkat Reddy,Available,Ranga Reddy,9806094391,190
EQ-1478,Chaff Cutter,Chandra Sekhar,Available,Medak,7827429909,202
EQ-1479,Seed Drill,M. Narsimha,Rented Out,Ranga Reddy,9205877984,166
EQ-1480,Paddy Transplanter,Y. Srinivasa Rao,Available,Nizamabad,8519977113,218
EQ-1481,Chaff Cutter,M. Narsimha,Available,Warangal,9618371508,126
EQ-1482,Power Weeder,Mohammad Ali,Available,Ranga Reddy,7252122560,189
EQ-1483,Seed Drill,Mohammad Ali,Rented Out,Suryapet,9659542785,223
EQ-1484,Thresher,N. Mahender,Available,Nizamabad,7848143863,415
EQ-1485,Power Tiller,B. Laxman,Available,Hyderabad,7223571865,305
EQ-1486,Chaff Cutter,B. Laxman,Available,Sangareddy,9895094534,162
EQ-1487,Combine Harvester,K. Naresh,Available,Warangal,7557810637,1473
EQ-1488,Post Hole Digger,Y. Srinivasa Rao,Rented Out,Sangareddy,9300131434,210
EQ-1489,Rotavator,S. Rajender,Available,Nizamabad,7561228852,399
EQ-1490,Sprayer (Battery Powered),Ramesh Kumar,Available,Nalgonda,8907803348,116
EQ-1491,Power Tiller,T. Ravi,Available,Warangal,8311606895,417
EQ-1492,Cultivator,K. Ramakrishna,Rented Out,Mahabubnagar,7436515102,199
EQ-1493,Power Weeder,A. Venkat Reddy,Available,Warangal,8591624059,144
EQ-1494,Sprayer (Battery Powered),G. Mohan Rao,Available,Jagtial,7733688460,121
EQ-1495,Combine Harvester,G. Mohan Rao,Available,Ranga Reddy,9427899285,1119
EQ-1496,Seed Drill,Chandra Sekhar,Available,Mahabubnagar,8549080818,135
EQ-1497,Power Weeder,T. Ravi,Rented Out,Medchal-Malkajgiri,8782364690,237
EQ-1498,Chaff Cutter,P. Rajesh,Available,Mahabubnagar,9625749126,173
EQ-1499,Combine Harvester,Anil Kumar,Available,Yadadri Bhuvanagiri,8765086407,1054
EQ-1500,Rotavator,N. Mahender,Rented Out,Medchal-Malkajgiri,9975331448,398
